l.p.;kraj;PKB;populacja
1;United States;19485394000000;325084756
2;China;12237700479375;1421021791
3;Japan;4872415104315;127502725
4;Germany;3693204332230;82658409
5;India;2650725335364;1338676785
6;United Kingdom;2637866340434;66727461
7;France;2582501307216;64842509
8;Brazil;2053594877013;207833823
9;Italy;1943835376342;60673701
10;Canada;1647120175449;36732095
11;Russia;1578417211937;145530082
12;South Korea;1530750923149;51096415
13;Australia;1323421072479;24584620
14;Spain;1314314164402;46647428
15;Mexico;1150887823404;124777324
16;Indonesia;1015420587285;264650963
17;Turkey;851549299635;81116450
18;Netherlands;830572618850;17021347
19;Saudi Arabia;686738400000;33101179
20;Switzerland;678965423322;8455804
21;Argentina;637430331479;43937140
22;Sweden;535607385506;9904896
23;Poland;526465839003;37953180
24;Belgium;494763551891;11419748
25;Thailand;455302682986;69209810
26;Iran;454012768724;80673883
27;Austria;416835975862;8819901
28;Norway;399488897844;5296326
29;United Arab Emirates;382575085092;9487203
30;Nigeria;375745486521;190873244
31;Israel;353268411919;8243848
32;South Africa;348871647960;57009756
33;Hong Kong;341449340451;7306322
34;Ireland;331430014003;4753279
35;Denmark;329865537183;5732274
36;Singapore;323907234412;5708041
37;Malaysia;314710259511;31104646
38;Colombia;314457601860;48909839
39;Philippines;313595208737;105172925
40;Pakistan;304951818494;207906209
41;Chile;277075944402;18470439
42;Finland;252301837573;5511371
43;Bangladesh;249723862487;159685424
44;Egypt;235369129338;96442591
45;Vietnam;223779865815;94600648
46;Portugal;219308128887;10288527
47;Czech Republic (Czechia);215913545038;10641034
48;Romania;211883923504;19653969
49;Peru;211389272242;31444298
50;New Zealand;204139049909;4702034
51;Greece;203085551429;10569450
52;Iraq;192060810811;37552781
53;Algeria;167555280113;41389189
54;Qatar;166928571429;2724728
55;Kazakhstan;162886867832;18080019
56;Hungary;139761138103;9729823
57;Angola;122123822334;29816766
58;Kuwait;120126277613;4056099
59;Sudan;117487857143;40813397
60;Ukraine;112154185121;44487709
61;Morocco;109708728849;35581255
62;Ecuador;104295862000;16785361
63;Cuba;96851000000;11339254
64;Slovakia;95617670260;5447900
65;Sri Lanka;87357205923;21128032
66;Ethiopia;80561496134;106399924
67;Kenya;79263075749;50221142
68;Dominican Republic;75931656815;10513104
69;Guatemala;75620095538;16914970
70;Oman;70783875163;4665928
71;Myanmar;67068745521;53382523
72;Luxembourg;62316359824;591910
73;Panama;62283756584;4106769
74;Ghana;58996776238;29121465
75;Bulgaria;58220973783;7102444
76;Costa Rica;57285984448;4949954
77;Uruguay;56156972158;3436641
78;Croatia;55213087271;4182857
79;Belarus;54456465473;9450231
80;Lebanon;53576985687;6819373
81;Tanzania;53320625959;54660339
82;Macao;50361201096;622585
83;Uzbekistan;49677172714;31959785
84;Slovenia;48769655479;2076394
85;Lithuania;47544459559;2845414
86;Serbia;41431648801;8829628
87;Azerbaijan;40747792238;9845320
88;Jordan;40068308451;9785843
89;Tunisia;39952095561;11433443
90;Paraguay;39667400816;6867061
91;Libya;38107728083;6580724
92;Turkmenistan;37926285714;5757667
93;DR Congo;37642482562;81398764
94;Bolivia;37508642113;11192855
95;C̫te d'Ivoire;37353276059;24437470
96;Bahrain;35432686170;1494076
97;Cameroon;34922782311;24566073
98;Yemen;31267675216;27834819
99;Latvia;30463302414;1951097
100;Estonia;26611651599;1319390
101;Uganda;25995031850;41166588
102;Zambia;25868142073;16853599
103;Nepal;24880266905;27632681
104;El Salvador;24805439600;6388126
105;Iceland;24488467010;334393
106;Honduras;22978532897;9429013
107;Cambodia;22158209503;16009409
108;Trinidad and Tobago;22079017627;1384059
109;Cyprus;22054225828;1179678
110;Zimbabwe;22040902300;14236595
111;Senegal;21070225735;15419355
112;Papua New Guinea;20536314601;8438036
113;Afghanistan;19543976895;36296113
114;Bosnia and Herzegovina;18054854789;3351525
115;Botswana;17406565823;2205080
116;Laos;16853087485;6953035
117;Mali;15334336144;18512430
118;Georgia;15081338092;4008716
119;Gabon;15013950984;2064823
120;Jamaica;14781107822;2920848
121;State of Palestine;14498100000;4747227
122;Nicaragua;13814261536;6384846
123;Mauritius;13266427697;1264499
124;Namibia;13253698015;2402633
125;Albania;13038538300;2884169
126;Mozambique;12645508634;28649018
127;Malta;12518134319;437933
128;Burkina Faso;12322864245;19193234
129;Equatorial Guinea;12293579173;1262002
130;Bahamas;12162100000;381755
131;Brunei;12128089002;424473
132;Armenia;11536590636;2944791
133;Madagascar;11499803807;25570512
134;Mongolia;11433635876;3113786
135;North Macedonia;11279509014;2081996
136;Guinea;10472514515;12067519
137;Chad;9871247732;15016753
138;Benin;9246696924;11175198
139;Rwanda;9135454442;11980961
140;Congo;8701334800;5110695
141;Haiti;8408150518;10982366
142;Moldova;8128493432;4059684
143;Niger;8119710126;21602382
144;Kyrgyzstan;7564738836;6189733
145;Tajikistan;7146449583;8880268
146;Malawi;6303292264;17670196
147;Guam;5859000000;164281
148;Fiji;5061202767;877459
149;Mauritania;5024708656;4282570
150;Maldives;4865546027;496402
151;Montenegro;4844592067;627563
152;Togo;4757776485;7698474
153;Barbados;4673500000;286232
154;Eswatini;4433664364;1124805
155;Sierra Leone;3775047334;7488423
156;Guyana;3621046005;775222
157;Liberia;3285455000;4702226
158;Burundi;3172416146;10827019
159;Andorra;3012914131;77001
160;Suriname;2995827901;570496
161;Timor-Leste;2954621000;1243258
162;Aruba;2700558659;105366
163;Lesotho;2578265358;2091534
164;Bhutan;2528007911;745563
165;Central African Republic;1949411659;4596023
166;Belize;1862614800;375769
167;Cabo Verde;1772706451;537498
168;Saint Lucia;1737504296;180954
169;San Marino;1632860041;33671
170;Northern Mariana Islands;1593000000;56562
171;Antigua and Barbuda;1510084751;95426
172;Seychelles;1497959569;96418
173;Gambia;1489464788;2213889
174;Guinea-Bissau;1346841897;1828145
175;Solomon Islands;1303453622;636039
176;Grenada;1126882296;110874
177;Comoros;1068124330;813892
178;Saint Kitts & Nevis;992007403;52045
179;Vanuatu;862879789;285510
180;Samoa;840927997;195352
181;St. Vincent & Grenadines;785222509;109827
182;American Samoa;634000000;55620
183;Dominica;496727000;71458
184;Tonga;427659795;101998
185;Sao Tome & Principe;392570293;207089
186;Micronesia;336427500;532899
187;Palau;289823500;17808
188;Marshall Islands;204173430;58058
189;Kiribati;185572502;114158
190;Tuvalu;39731317;11370